Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,América Latina y el Caribe (BIRF y la AIF),TLA,3300749.6227353,3122351.556177,3683478.638608,3304210.98603928,4995115.30463948,5608290.81131159,5684729.22638552,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Países menos desarrollados: clasificación de las Naciones Unidas,LDC,3545639.230296,4005539.5297133,4435628.6080322,4164282.93411902,4481469.10981558,4825058.03812844,4833763.36414492,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Ingreso mediano y bajo,LMY,22036430.6077203,22276729.7741482,29022986.8752292,28878704.0283383,31501038.6512104,33683349.1756866,34474412.3851363,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Países de ingreso bajo,LIC,2391195.745972,2965348.62456585,3237156.1167,2979113.14852131,3201526.40617431,3219149.76935465,3224393.76832893,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Países de ingreso mediano bajo,LMC,6649910.6437913,6177231.36748,7396601.218192,7795505.24557999,7687085.57071191,8654953.8355359,8901873.72319715,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Oriente Medio y Norte de África,MEA,1012934.9441797,1804578.0900923,1833234.30531,1869692.10124587,1480798.24056302,2039856.34164361,1464934.5037815,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Oriente Medio y Norte de África (excluido altos ingresos),MNA,823836.2595897,1165153.2594,902170.49018,881165.08851228,926457.594457401,953516.491989921,977795.573153207,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Oriente Medio y Norte de África (BIRF y la AIF),TMN,823836.2595897,1165153.2594,902170.49018,881165.08851228,926457.594457401,953516.491989921,977795.573153207,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE, Ingreso mediano,MIC,19645234.8617483,19311381.1495823,25785830.7585292,25899590.879817,28299512.2450361,30464199.4063319,31250018.6168074,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,América del Norte,NAC,6745431.462347,7730285.771347,7557917.2,7354493.86941466,7478081.29598439,7605750.83462879,7371537.23960903,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,No clasificado,INX,..,..,..,..,..,..,..,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Miembros OCDE,OED,15097055.43579,16844963.3164323,16650668.9160427,16303086.6648687,16306178.8083684,16385044.6331998,16240618.062356,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Otros Estados pequeos,OSS,188932.4472016,218627.585847,324419.030007,257417.719963932,357243.094659574,365456.314265319,374953.683304606,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Estados pequeos de las Islas del Pacfico,PSS,9168.7235256,6664.6342223,7467.2206762,7718.47902883243,7575.53993151055,7699.32176119915,7657.185057479,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,posterior al dividendo demográfico,PST,15026516.86325,16037968.083779,15684024.35645,15275918.1379277,15272229.8703391,15362536.6790033,15199245.4861771,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,previa al dividendo demográfico,PRE,2984135.1674374,4064780.050575,4364980.13991,3989395.90161976,4195928.22928638,4212978.62986574,4223033.05827137,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Pequeños Estados,SST,241159.3183915,276487.1063363,416632.6507712,370044.91378771,451235.055920645,465243.274080731,478587.712888114,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Asia meridional,SAS,1743930.29699,2338907.99906,3019145.33293,3186193.19951174,3386371.56460753,3456044.02136962,3630441.57896087,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Asia meridional (BIRF y la AIF),TSA,1743930.29699,2338907.99906,3019145.33293,3186193.19951174,3386371.56460753,3456044.02136962,3630441.57896087,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,África al sur del Sahara,SSF,3394980.0010204,4807543.047722,4754877.685087,4279677.85053038,4558259.71022821,4573970.09504224,4601155.11108355,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,África al sur del Sahara (excluido altos ingresos),SSA,3394614.7286814,4807543.047722,4754071.269002,4278871.90829967,4557405.6380438,4573086.26361523,4600244.82372526,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,África al sur del Sahara (BIRF y la AIF),TSS,3394980.0010204,4807543.047722,4754877.685087,4279677.85053037,4558259.71022821,4573970.09504224,4601155.11108355,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Ingreso mediano alto,UMC,12995324.217957,13134149.7821023,18389229.5403372,18104085.634237,20612426.6743242,21809245.5707961,22348144.8936102,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Mundo,WLD,38232170.0568654,40563436.9953996,48664440.8430606,48150621.2283986,50911113.6767191,52790526.9956322,53526302.8283888,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Afganistán,AFG,12528.0165,13530.953,15288.7756,15554.4294997907,17791.3299018728,17981.3072867677,..,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Albania,ALB,11112.72956,8389.2767,8136.785,8108.81238694848,8506.99603431525,8712.29636455369,8898.64091140274,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Argelia,DZA,106445.8175,133778.197,160415.277,160849.926561587,167674.633000695,172303.509195404,176471.226769797,..,..,..,..,..
